RefDes,Layer,LocationX,LocationY,Rotation
C101,Top,1.5,0.375,270
C102,Top,1.43,1.16,180
C103,Top,1.58,0.415,270
C104,Top,1.55,1.08,270
C105,Bottom,1.09,0.87,0
C106,Top,1.68,0.45,0
C107,Top,1.65,1.105,0
C110,Top,1.72,0.92,90
C111,Top,1.83,0.435,270
C112,Top,1.005,0.99,270
C113,Top,1.21,0.805,90
C114,Top,1.775,1.05,180
C115,Bottom,1.22,0.98,270
C116,Top,1.985,0.635,270
C117,Top,1.985,0.97,90
C118,Top,2.16,1.36,270
C119,Top,2.16,1.52,90
C120,Bottom,2.27,0.45,180
C121,Bottom,2.14,0.45,0
C122,Top,0.65,0.07,0
C123,Top,2.39,1.22,180
C201,Top,0.385,0.21,270
C202,Top,0.23,0.21,270
C203,Bottom,0.34,0.345,270
C204,Bottom,0.45,0.345,270
C205,Bottom,0.3,0.515,270
C206,Top,0.37,0.63,0
C207,Top,0.25,0.79,180
C208,Top,0.25,0.71,180
C209,Bottom,0.755,1.22,90
C210,Top,0.25,0.87,180
C211,Bottom,1.89,1.27,180
C212,Bottom,0.995,1.22,90
C213,Bottom,0.38,1.24,90
C214,Bottom,0.46,0.96,90
C216,Bottom,1.75,1.45,180
C217,Bottom,0.21,1.04,90
C301,Top,0.825,0.335,180
C302,Bottom,0.725,0.335,90
C303,Bottom,0.91,0.255,270
C305,Bottom,1.68,1.22,180
C306,Top,1.125,0.43,0
C307,Bottom,1.115,0.555,270
D201,Top,0.345,0.325,90
D202,Top,0.415,0.325,90
D203,Bottom,0.355,0.56,90
D205,Bottom,0.69,0.945,270
D302,Bottom,1.48,1.47,0
F101,Top,0.09,0.5,270
J101,Bottom,0.395,0.15,180
L101,Top,1.46,0.715,270
L102,Top,1.46,0.9,90
L103,Top,1.585,0.53,0
L104,Top,1.59,1.185,0
L105,Top,1.84,0.71,90
L106,Top,1.84,0.93,270
L107,Top,1.68,0.775,180
L108,Top,1.94,0.5,0
L109,Top,1.93,1.11,0
L110,Bottom,2.215,0.87,90
L111,Bottom,2.215,0.71,270
L114,Top,2.35,1.445,0
L301,Top,3.43,1.36,0
L302,Top,3.43,1.49,0
L303,Top,3.64,1.36,0
L304,Top,3.64,1.49,0
Q101,Top,1.77,0.498,0
Q102,Top,1.77,1.138,0
Q103,Bottom,0.98,0.1,90
Q104,Top,2.718,0.853,135
Q105,Top,2.718,0.747,45
Q201,Top,0.35,0.695,180
Q202,Top,0.44,0.695,180
Q203,Bottom,1.25,0.62,0
Q301,Bottom,0.83,0.1,90
Q302,Bottom,1.33,1.27,90
Q303,Bottom,1.555,1.27,180
R101,Top,1.46,0.56,90
R102,Top,1.46,1.05,270
R103,Bottom,1.09,0.95,0
R104,Top,1.59,0.61,180
R105,Top,1.6,1.265,0
R106,Top,1.73,0.58,0
R107,Top,1.73,1.22,0
R108,Top,1.615,0.88,0
R109,Bottom,1.1,1.03,0
R110,Top,1.55,0.77,90
R111,Bottom,2.345,0.865,0
R112,Bottom,2.345,0.705,0
R113,Top,2.585,0.865,180
R114,Top,2.585,0.735,180
R115,Top,2.62,0.8,180
R116,Top,2.39,1.305,180
R201,Top,0.54,0.19,270
R202,Top,0.26,0.33,90
R203,Top,0.49,0.33,90
R204,Top,0.275,0.505,270
R205,Top,0.505,0.575,270
R206,Top,0.035,0.67,0
R207,Bottom,0.485,1.45,270
R208,Bottom,0.605,1.45,270
R209,Bottom,0.725,1.45,270
R210,Bottom,0.845,1.45,270
R211,Top,0.54,0.705,90
R213,Bottom,0.74,0.725,90
R216,Bottom,1.75,1.35,0
R217,Bottom,1.63,1.45,180
R218,Top,1.95,1.44,180
R219,Bottom,1.36,0.6,90
R302,Top,0.6,0.34,270
R303,Top,0.555,0.34,90
R304,Top,0.7,0.525,180
R305,Top,0.7,0.43,0
R306,Top,0.925,0.105,180
R307,Top,0.815,0.135,0
R308,Top,0.925,0.15,180
R309,Bottom,1.37,1.42,270
R310,Bottom,1.44,1.275,90
R311,Top,0.935,0.22,180
R313,Top,1.125,0.54,90
R314,Top,1.12,0.7,270
R315,Top,0.875,0.765,0
R316,Top,0.85,0.66,270
STAT,Top,0.985,0.045,0
U101,Top,1.11,0.935,90
U201,Top,0.305,0.2,0
U202,Top,0.46,0.195,0
U203,Top,0.39,0.52,0
U204,Bottom,1.94,1.38,180
U301,Top,0.7,0.35,0
U302,Top,0.835,0.055,270
U303,Top,0.945,0.3,90
U304,Top,1.01,0.415,0
U305,Top,0.88,0.405,90
U306,Top,0.985,0.6,180
VS,Top,-0.015,0.535,180
